Job Title,Job Description,Salary,Applying Link,Company,Location
Data Scientist,"This job is with Jabil, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With 60 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver…",Not specified,https://www.adzuna.in/land/ad/5785773097?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=1AD120B3FB3DFBC7F01669BC535E68EC0F2123A3,Jabil,India
Data Scientist,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward - always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our cus…",Not specified,https://www.adzuna.in/land/ad/5790410241?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=953FF3E733ECBE4EAF709641489C07B4897A20EE,Kyndryl,"Mumbai, Maharashtra"
Data Scientist,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",Not specified,https://www.adzuna.in/land/ad/5790410354?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=88535A62DE589B36E2C2E9BEDF341485A3C69989,Kyndryl,India
Data Scientist,"This job is with eBay, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our cu…",Not specified,https://www.adzuna.in/land/ad/5785772472?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=A2FC26733AE205EB6DA6D953D9469BFDE491C141,eBay,"Bangalore, Karnataka"
Data Science Instructor,"Data Science Instructor: NDMIT is seeking a passionate and knowledgeable Data Science Instructor to join our Kanpur branch. The ideal candidate should have hands-on experience in Data Science concepts and the ability to train students through practical and industry-oriented sessions. Key Responsibilities: • Deliver engaging classroom and practical sessions on Data Science. • Train students in Python, Statistics, Machine Learning, Deep Learning, SQL, and Power BI. • Guide students on real-time p…",Not specified,https://www.adzuna.in/land/ad/5795582923?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=B16697C360F096A495E962C02DC9FC0339F3B405,NDMIT,"Agra, Uttar Pradesh"
Data Science Instructor,"Data Science & AI Instructor upGrad is expanding its Offline Learning Centres , and we are looking for a dynamic Data Science Instructor who is well-versed in cutting-edge technologies like Generative AI and Agentic AI . Key Responsibilities As a Instructor, you will play a vital role in ensuring high-quality learning outcomes: Deliver High-Impact Sessions: Conduct engaging, in-person lectures and hands-on training sessions in Data Science, Machine Learning, Deep Learning, and cutting-edge GenA…",Not specified,https://www.adzuna.in/land/ad/5786785503?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=A6B530F93C85F9C59F3E1A951CDEC1F1337D61A1,upGrad,India
Senior Data Scientist,"This job is with Cornerstone OnDemand, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. We are searching for askilled Senior Data Scientist/Engineer to help fuel our team'sdata-driven impact. The ideal candidate is passionate about leveraging data tosolve complex business problems, has hands-on experience across the modern dataengineering and data science stack, and contributes as a depend…",Not specified,https://www.adzuna.in/land/ad/5785771636?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=15862F655C8AB8C1501E3C2AE8515934B49D901D,Cornerstone OnDemand,"Pune, Maharashtra"
Principal Data Scientist,"This job is with Warner Bros. Discovery, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands,…",Not specified,https://www.adzuna.in/land/ad/5785771652?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=7A9AB2CB4E15507FFBC5DA1607B20E8564B559AF,Warner Bros. Discovery,"Hyderabad, Telangana"
Data Scientist III,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 10 The Role: Data Scientist III Location: Hyderabad (2 days onsite a week: Paseo de la Reforma 180) The Team: S&P Global is looking for a Data Scientist who will be a part of our Data Science and Modelling team. The ideal candidate should be highly motivated and goa…",Not specified,https://www.adzuna.in/land/ad/5785770925?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=F71D7D5B9511B025B5206526544AC52BEB0B45C8,S&P Global,"Hyderabad, Telangana"
Data Science Instructor,"Job Title: Data Science Instructor – Offline Learning Centres Location: Bengaluru, Karnataka Working Days: 6 (Monday – Saturday) About upGrad Founded in 2015, upGrad is Asia’s largest integrated Learning, Skilling, Workforce Development, and Placement company. Its offerings include online and hybrid degrees, study abroad programs, certifications, bootcamps, and doctorates for working professionals. Through its B2B arm, upGrad also provides enterprise training, recruitment, and staffing services…",Not specified,https://www.adzuna.in/land/ad/5785410815?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=0FADC0A9B1C02A634023DF30652741433E015113,upGrad,India
